"n_nodes","data_gen_time","fixed_mcmc_time","rj_mcmc_time","total_time","fixed_acceptance_rate","rj_acceptance_rate","rj_mean_K"
5,0.354799032211304,36010.7869539261,3781.90489387512,39793.0466468334,0.3439,0.36814,3.49555555555556
6,0.261054992675781,1928.36021208763,1790.85348796844,3719.47475504875,0.36098,0.4336,3.26888888888889
7,0.0689949989318848,1919.5925450325,2183.56524705887,4103.2267870903,0.2441,0.31292,3.58
8,0.0655779838562012,2225.46669793129,2327.29757189751,4552.82984781265,0.20748,0.2321,3.44222222222222
9,0.139790058135986,3012.77700805664,3021.12678194046,6034.04358005524,0.20294,0.22794,3.49777777777778
10,0.173113822937012,3181.24604606628,16097.842810154,19279.2619700432,0.19684,0.1917,3.37777777777778
